Variable Name,Variable Label,Variable Order in File,Variable Type,Length,Keep,Factors,FT
TYPEHUQ,Type of housing unit,5,Numeric,8,1,"1
2
3
4
5",of
NWEIGHT,Final sample weight,6,Numeric,8,1,0,nf
HDD65,"Heating degree days in 2009, base temperature 65F",7,Numeric,8,1,0,nf
CDD65,"Cooling degree days in 2009, base temperature 65F",8,Numeric,8,1,0,nf
HDD30YR,"Heating degree days, 30-year average 1981-2010, base 65F",9,Numeric,8,1,0,nf
CDD30YR,"Cooling degree days, 30-year average 1981-2010, base 65F",10,Numeric,8,1,0,nf
Climate_Region_Pub,Building America Climate Region (collapsed for public file),11,Numeric,8,1,"1
2
3
4
5",f
AIA_Zone,"AIA Climate Zone, based on average temperatures from 1981 - 2010",12,Numeric,8,1,"1
2
3
4
5",of
METROMICRO,Housing unit in Census Metropolitan Statistical Area or Micropolitan Statistical Area,13,Character,5,1,"METRO
MICRO
NONE",f
UR,Housing unit classified as urban or rural by Census,14,Character,1,1,"U
R",f
WALLTYPE,Major outside wall material,25,Numeric,8,1,"1
2
3
4
5
6
7
8
9",f
ROOFTYPE,Major roofing material,26,Numeric,8,1,"1
2
3
4
5
6
7
8
-2",f
HEATHOME,Space heating equipment used,426,Numeric,8,1,"0
1",f
DNTHEAT,"No space heating equipment, or unused space heating equipment",427,Numeric,8,1,"1
2
-2",f
EQUIPM,Type of main space heating equpiment used,430,Numeric,8,1,"2
3
4
5
6
7
8
9
10
11
12
21
-2",f
FUELHEAT,Main space heating fuel,431,Numeric,8,1,"1
2
3
4
5
7
8
9
21
-2",f
EQUIPAGE,Age of main space heating equipment,433,Numeric,8,1,"1
2
3
41
42
5
-2",of
REPLCHT,Main space heating equipment replaced by this household in the last 4 years,434,Numeric,8,1,"0
1
-2
-8
-9",f
HEATOTH,"Main space heating equipment heats other homes, business, or farm",437,Numeric,8,1,"0
1
-2",f
EQUIPAUX,Secondary space heating equipment used,438,Numeric,8,1,"0
1
-2",f
REVERSE,Heat pump used for secondary space heating,439,Numeric,3,1,"0
1
-2",f
WARMAIR,Central warm-air furnace used for secondary space heating,440,Numeric,3,1,"0
1
-2",f
FURNFUEL,Fuel used by warm-air furnace for secondary space heating,441,Numeric,8,1,"1
2
3
4
5
7
8
9
21
-2",f
STEAMR,Hot water system used for secondary space heating,442,Numeric,3,1,"0
1
-2",f
EQMAMT,Portion of space heating provided by main space heating equipment (for homes with main and secondary heating only),461,Numeric,8,1,"1
2
3
-2",f
HEATROOM,Number of rooms heated,462,Numeric,8,1,"1 - 25
-2",f
PROTHERM,Programmable main thermostat,465,Numeric,8,1,"0
1
-2",f
AIRCOND,Air conditioning equipment used,530,Numeric,8,1,"0
1",f
USECENAC,Frequency central air conditioner used in summer 2009,543,Numeric,8,1,"1
2
3
-2",f
NUMBERAC,Number of window/wall air conditioning units used,551,Numeric,8,1,"1 - 15
-2",f
NUMCFAN,Number of ceiling fans used,558,Numeric,8,1,0 - 15,f
TREESHAD,Housing unit shaded from sun by large trees,560,Numeric,8,1,"0
1",f
